TRAIN,C:\Users\asus\Downloads\training\images\train\image_0.png,Household : General,162,303,,,40,455,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_1.png,Household : Recyclable,2,450,,,148,618,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_2.png,Household : Recyclable,185,363,,,302,433,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_3.png,Household : Recyclable,64,206,,,308,444,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_3.png,Household : Recyclable,175,297,,,179,300,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_3.png,Household : Recyclable,381,430,,,256,386,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_4.png,Household : Recyclable,172,322,,,295,403,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_5.png,Household : Recyclable,95,275,,,2,240,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_5.png,Household : Recyclable,399,561,,,16,237,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_5.png,Household : Recyclable,60,571,,,240,424,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_6.png,Household : Recyclable,156,280,,,137,488,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_7.png,Household : Recyclable,259,403,,,239,293,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_8.png,Household : Recyclable,251,290,,,169,249,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_9.png,Household : Recyclable,226,311,,,38,234,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_10.png,Household : Recyclable,113,246,,,349,448,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_11.png,Household : Recyclable,209,276,,,338,383,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_11.png,Household : Recyclable,125,204,,,322,410,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_11.png,Household : General,286,361,,,409,461,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_11.png,Household : General,265,378,,,314,355,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_12.png,Household : Recyclable,267,381,,,188,462,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_12.png,Household : Recyclable,381,481,,,192,464,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_12.png,Household : Recyclable,490,591,,,142,464,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_12.png,Household : Recyclable,178,270,,,165,449,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_12.png,Household : General,56,192,,,1,440,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_13.png,Household : Recyclable,138,472,,,140,406,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_13.png,Household : Bio-degradable,3,149,,,483,640,
TRAIN,C:\Users\asus\Downloads\training\images\train\image_13.png,Household : Bio-degradable,95,270,,,435,516,
